Accrued Expense,Adopted,Agency,CBnum,Budget Code,Budget Name,Cash Expense,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0,214088,Queens Community Board # 12,412,1000,CONVERSION NAME,169519.11,PERSONAL SERVICES,0,FULL YEAR POSITIONS,204088,0,0,2017
0,197025,Bronx Community Board # 4,204,1000,CONVERSION NAME,205863.82,PERSONAL SERVICES,0,FULL YEAR POSITIONS,203025,0,0,2017
0,202222,Staten Island Community Board # 1,501,1000,CONVERSION NAME,193793.21,PERSONAL SERVICES,0,FULL YEAR POSITIONS,201942,0,0,2017
0,163013,Queens Community Board # 13,413,1000,CONVERSION NAME,200043.03,PERSONAL SERVICES,0,FULL YEAR POSITIONS,200044,0,0,2017
0,197986,Manhattan Community Board # 4,104,1000,CONVERSION NAME,194489.96,PERSONAL SERVICES,0,FULL YEAR POSITIONS,197986,0,0,2017
0,192715,Staten Island Community Board # 3,503,1000,CONVERSION NAME,212409.15,PERSONAL SERVICES,0,FULL YEAR POSITIONS,192715,0,0,2017
0,197688,Queens Community Board # 14,414,1000,CONVERSION NAME,192047.44,PERSONAL SERVICES,0,FULL YEAR POSITIONS,192154,0,0,2017
0,191518,Queens Community Board # 3,403,1000,CONVERSION NAME,165022.06,PERSONAL SERVICES,0,FULL YEAR POSITIONS,191518,0,0,2017
0,192551,Queens Community Board # 10,410,1000,CONVERSION NAME,181482.08,PERSONAL SERVICES,0,FULL YEAR POSITIONS,188551,0,0,2017
0,187217,Brooklyn Community Board # 10,310,1000,CONVERSION NAME,190676.14,PERSONAL SERVICES,0,FULL YEAR POSITIONS,188217,0,0,2017
0,229528,Bronx Community Board # 5,205,1000,CONVERSION NAME,85937.25,PERSONAL SERVICES,0,FULL YEAR POSITIONS,187833,0,0,2017
0,174761,Brooklyn Community Board # 8,308,1000,CONVERSION NAME,185306.39,PERSONAL SERVICES,0,FULL YEAR POSITIONS,187761,0,0,2017
0,198100,Queens Community Board # 8,408,1000,CONVERSION NAME,174000.99,PERSONAL SERVICES,0,FULL YEAR POSITIONS,187282,0,0,2017
0,196176,Manhattan Community Board # 8,108,1000,CONVERSION NAME,166558.77,PERSONAL SERVICES,0,FULL YEAR POSITIONS,187176,0,0,2017
0,209065,Manhattan Community Board # 12,112,1000,CONVERSION NAME,171031.7,PERSONAL SERVICES,0,FULL YEAR POSITIONS,186565,0,0,2017
0,217738,Manhattan Community Board # 7,107,1000,CONVERSION NAME,186373.19,PERSONAL SERVICES,0,FULL YEAR POSITIONS,186238,0,0,2017
0,184709,Queens Community Board # 2,402,1000,CONVERSION NAME,193032.53,PERSONAL SERVICES,0,FULL YEAR POSITIONS,184709,0,0,2017
0,230541,Bronx Community Board # 8,208,1000,CONVERSION NAME,144829.22,PERSONAL SERVICES,0,FULL YEAR POSITIONS,184640,0,0,2017
0,184497,Brooklyn Community Board # 3,303,1000,CONVERSION NAME,178235.53,PERSONAL SERVICES,0,FULL YEAR POSITIONS,184497,0,0,2017
0,220484,Bronx Community Board # 6,206,1000,CONVERSION NAME,174541.45,PERSONAL SERVICES,0,FULL YEAR POSITIONS,183371,0,0,2017
0,181217,Brooklyn Community Board # 6,306,1000,CONVERSION NAME,212845.06,PERSONAL SERVICES,0,FULL YEAR POSITIONS,181217,0,0,2017
0,215490,Queens Community Board # 9,409,1000,CONVERSION NAME,144991.89,PERSONAL SERVICES,0,FULL YEAR POSITIONS,180254,0,0,2017
0,198700,Manhattan Community Board # 6,106,1000,CONVERSION NAME,136997.88,PERSONAL SERVICES,0,FULL YEAR POSITIONS,178996,0,0,2017
0,177159,Brooklyn Community Board # 15,315,1000,CONVERSION NAME,145104.06,PERSONAL SERVICES,0,FULL YEAR POSITIONS,177159,0,0,2017
0,195704,Brooklyn Community Board # 4,304,1000,CONVERSION NAME,145230.08,PERSONAL SERVICES,0,FULL YEAR POSITIONS,172604,0,0,2017
0,177663,Brooklyn Community Board # 12,312,1000,CONVERSION NAME,179027.63,PERSONAL SERVICES,0,FULL YEAR POSITIONS,171576,0,0,2017
0,181756,Bronx Community Board # 12,212,1000,CONVERSION NAME,157216.8,PERSONAL SERVICES,0,FULL YEAR POSITIONS,170756,0,0,2017
0,170499,Manhattan Community Board # 8,108,4000,RENT,170499,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,170499,0,0,2017
0,197762,Manhattan Community Board # 11,111,1000,CONVERSION NAME,142150.07,PERSONAL SERVICES,0,FULL YEAR POSITIONS,167122,0,0,2017
0,164349,Queens Community Board # 6,406,1000,CONVERSION NAME,160037.78,PERSONAL SERVICES,0,FULL YEAR POSITIONS,165349,0,0,2017
0,149016,Bronx Community Board # 2,202,1000,CONVERSION NAME,144845.42,PERSONAL SERVICES,0,FULL YEAR POSITIONS,164164,0,0,2017
0,153687,Queens Community Board # 11,411,1000,CONVERSION NAME,159766.25,PERSONAL SERVICES,0,FULL YEAR POSITIONS,160652,0,0,2017
0,160000,Manhattan Community Board # 3,103,4000,RENT AND ENERGY,129500.04,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,160000,0,0,2017
0,158000,Brooklyn Community Board # 11,311,1000,CONVERSION NAME,156885.9,PERSONAL SERVICES,0,FULL YEAR POSITIONS,159000,0,0,2017
0,182895,Manhattan Community Board # 10,110,1000,CONVERSION NAME,148144.61,PERSONAL SERVICES,0,FULL YEAR POSITIONS,157895,0,0,2017
0,157275,Queens Community Board # 1,401,1000,CONVERSION NAME,108791.64,PERSONAL SERVICES,0,FULL YEAR POSITIONS,152672,0,0,2017
0,199685,Brooklyn Community Board # 9,309,1000,OPERATIONS,10827.53,PERSONAL SERVICES,0,FULL YEAR POSITIONS,149685,0,0,2017
0,167797,Brooklyn Community Board # 5,305,1000,CONVERSION NAME,106918.28,PERSONAL SERVICES,0,FULL YEAR POSITIONS,147997,0,0,2017
0,0,Manhattan Community Board # 1,101,2000,MARDI GRAS FESTIVAL,0,OTHER THAN PERSONAL SERVICES,0,OTHER EXPENSES - GENERAL,147553,0,0,2017
0,159112,Brooklyn Community Board # 14,314,1000,CONVERSION NAME,163515.39,PERSONAL SERVICES,0,FULL YEAR POSITIONS,146742,0,0,2017
0,170598,Bronx Community Board # 7,207,1000,CONVERSION NAME,114182.96,PERSONAL SERVICES,0,FULL YEAR POSITIONS,145598,0,0,2017
0,130052,Queens Community Board # 5,405,1000,CONVERSION NAME,144929.81,PERSONAL SERVICES,0,FULL YEAR POSITIONS,145056,0,0,2017
0,141586,Brooklyn Community Board # 9,309,4000,RENT,107613.18,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,141586,0,0,2017
0,137777,Manhattan Community Board # 9,109,4000,RENT AND ENERGY,38390.76,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,137777,0,0,2017
0,137678,Manhattan Community Board # 9,109,1000,CONVERSION NAME,129331.71,PERSONAL SERVICES,0,FULL YEAR POSITIONS,133178,0,0,2017
0,170995,Bronx Community Board # 9,209,1000,CONVERSION NAME,128497.26,PERSONAL SERVICES,0,FULL YEAR POSITIONS,128495,0,0,2017
0,126007,Manhattan Community Board # 6,106,4000,RENT,104913.91,RENT,0,RENTALS - LAND BLDGS & STRUCTS,126007,0,0,2017
0,91362,Bronx Community Board # 11,211,1000,CONVERSION NAME,124790.84,PERSONAL SERVICES,0,FULL YEAR POSITIONS,125362,0,0,2017
0,167990,Queens Community Board # 7,407,1000,CONVERSION NAME,119672.34,PERSONAL SERVICES,0,FULL YEAR POSITIONS,119468,0,0,2017
59214,118640,Manhattan Community Board # 2,102,4000,RENT AND ENERGY,59426.04,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,118640,0,0,2017
0,188918,Brooklyn Community Board # 13,313,1000,CONVERSION NAME,109669.09,PERSONAL SERVICES,0,FULL YEAR POSITIONS,114705,0,0,2017
0,101480,Staten Island Community Board # 3,503,4000,RENT,71313.39,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,101480,0,0,2017
0,99098,Staten Island Community Board # 2,502,1000,CONVERSION NAME,91818.5,PERSONAL SERVICES,0,FULL YEAR POSITIONS,99098,0,0,2017
0,92992,Manhattan Community Board # 10,110,4000,RENT,92992,RENT,0,RENTALS - LAND BLDGS & STRUCTS,92992,0,0,2017
0,88682,Manhattan Community Board # 4,104,4000,RENT,88650.27,RENT,0,RENTALS - LAND BLDGS & STRUCTS,88682,0,0,2017
0,0,Manhattan Community Board # 6,106,2000,GRANT,0,OTHER THAN PERSONAL SERVICES,0,OTHER EXPENSES - GENERAL,88128,0,0,2017
0,85874,Queens Community Board # 2,402,4000,RENT,80247,RENT,0,RENTALS - LAND BLDGS & STRUCTS,85874,0,0,2017
0,85800,Queens Community Board # 3,403,4000,RENT AND ENERGY,85800,RENT,0,RENTALS - LAND BLDGS & STRUCTS,85800,0,0,2017
0,84025,Manhattan Community Board # 5,105,4000,RENT,81238.36,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,84025,0,0,2017
0,82680,Manhattan Community Board # 7,107,4000,RENT AND ENERGY,82142.63,RENT,0,RENTALS - LAND BLDGS & STRUCTS,82680,0,0,2017
0,82546,Queens Community Board # 7,407,4000,RENT,81878.76,RENT,0,RENTALS - LAND BLDGS & STRUCTS,82546,0,0,2017
0,67122,Bronx Community Board # 10,210,1000,CONVERSION NAME,80307.71,PERSONAL SERVICES,0,UNSALARIED,80361,0,0,2017
0,79411,Staten Island Community Board # 2,502,1000,CONVERSION NAME,55160.67,PERSONAL SERVICES,0,UNSALARIED,79411,0,0,2017
0,129533,Bronx Community Board # 11,211,1000,CONVERSION NAME,78765.43,PERSONAL SERVICES,0,UNSALARIED,79326,0,0,2017
0,78846,Brooklyn Community Board # 10,310,4000,RENT,68287.34,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,78846,0,0,2017
0,0,Bronx Community Board # 10,210,1000,CONVERSION NAME,73312.27,PERSONAL SERVICES,0,TERMINAL LEAVE,73313,0,0,2017
0,73255,Brooklyn Community Board # 14,314,4000,RENT,73343.64,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,73255,0,0,2017
0,72256,Brooklyn Community Board # 17,317,4000,RENT,73144.84,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,72543,0,0,2017
0,70681,Brooklyn Community Board # 12,312,4000,RENT,62896.08,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,70681,7784.92,0,2017
0,69259,Manhattan Community Board # 11,111,4000,RENT AND ENERGY,56400,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,69259,0,0,2017
0,84974,Queens Community Board # 5,405,1000,CONVERSION NAME,64138.78,PERSONAL SERVICES,0,UNSALARIED,68825,0,0,2017
0,66755,Queens Community Board # 8,408,4000,RENT,66494.65,RENT,0,RENTALS - LAND BLDGS & STRUCTS,66755,0,0,2017
0,66543,Brooklyn Community Board # 1,301,4000,RENT AND ENERGY,66543,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,66543,0,0,2017
0,63362,Brooklyn Community Board # 8,308,4000,RENT,61386.18,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,63362,0,0,2017
0,149405,Bronx Community Board # 10,210,1000,CONVERSION NAME,61964.1,PERSONAL SERVICES,0,FULL YEAR POSITIONS,62569,0,0,2017
0,60887,Queens Community Board # 11,411,4000,RENT,52083.34,RENT,0,RENTALS - LAND BLDGS & STRUCTS,60887,0,0,2017
0,59966,Staten Island Community Board # 1,501,4000,RENT,48255.48,RENT,0,RENTALS - LAND BLDGS & STRUCTS,59966,0,0,2017
0,59503,Bronx Community Board # 10,210,4000,RENT AND ENERGY,55632.96,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,59503,0,0,2017
0,57668,Bronx Community Board # 1,201,4000,RENT,55553.95,RENT,0,RENTALS - LAND BLDGS & STRUCTS,57668,0,0,2017
0,56462,Brooklyn Community Board # 13,313,4000,RENT,42044.59,RENT,0,RENTALS - LAND BLDGS & STRUCTS,56462,0,0,2017
0,55366,Bronx Community Board # 3,203,4000,RENT AND ENERGY,51047.04,RENT,0,RENTALS - LAND BLDGS & STRUCTS,55380,0,0,2017
0,55315,Bronx Community Board # 7,207,4000,RENT AND ENERGY,52308.71,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,55315,0,0,2017
0,47775,Bronx Community Board # 2,202,4000,RENT,46546.99,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,54775,0,0,2017
0,54266,Queens Community Board # 6,406,4000,RENT,53272.46,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,54266,0,0,2017
16588.28,52201,Bronx Community Board # 9,209,4000,RENT,32719.38,RENT,0,RENTALS - LAND BLDGS & STRUCTS,52201,0,0,2017
0,51316,Queens Community Board # 6,406,1000,CONVERSION NAME,55225.61,PERSONAL SERVICES,0,PART-TIME POSITIONS,51316,0,0,2017
0,50623,Bronx Community Board # 11,211,4000,RENT AND ENERGY,43889.33,RENT,0,RENTALS - LAND BLDGS & STRUCTS,50623,0,0,2017
0,50354,Queens Community Board # 12,412,4000,RENT,50354,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,50354,0,0,2017
0,49033,Brooklyn Community Board # 4,304,4000,RENT,48106.64,RENT,0,RENTALS - LAND BLDGS & STRUCTS,49033,0,0,2017
0,48314,Brooklyn Community Board # 2,302,4000,RENT,47714.4,RENT,0,RENTALS - LAND BLDGS & STRUCTS,48314,0,0,2017
0,43282,Queens Community Board # 11,411,1000,CONVERSION NAME,45807.86,PERSONAL SERVICES,0,PART-TIME POSITIONS,46419,0,0,2017
0,45000,Staten Island Community Board # 2,502,4000,RENT,45000,RENT,0,RENTALS - LAND BLDGS & STRUCTS,45000,0,0,2017
0,0,Manhattan Community Board # 2,102,2000,ANNUAL STREET FAIR,813.08,OTHER THAN PERSONAL SERVICES,0,FIXED CHARGES - GENERAL,44927,0,0,2017
0,43600,Bronx Community Board # 8,208,4000,RENT AND ENERGY,43600,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,43600,0,0,2017
0,41400,Brooklyn Community Board # 11,311,4000,RENT,41400,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,41401,0,0,2017
0,40918,Brooklyn Community Board # 6,306,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,AMOUNT TO BE SCHEDULED-PS,40918,0,0,2017
0,40776,Queens Community Board # 10,410,4000,RENT,40776,RENT,0,RENTALS - LAND BLDGS & STRUCTS,40776,0,0,2017
0,40247,Queens Community Board # 4,404,4000,RENT AND ENERGY,40179.72,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,40247,0,0,2017
0,40000,Brooklyn Community Board # 14,314,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,TERMINAL LEAVE,40000,0,0,2017
0,570,Bronx Community Board # 9,209,1000,CONVERSION NAME,39977.93,OTHER THAN PERSONAL SERVICES,0,PROF SERV OTHER,39978,0,0,2017
0,39795,Brooklyn Community Board # 3,303,4000,RENT,35908.8,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,39795,0,0,2017
0,0,Queens Community Board # 7,407,1000,CONVERSION NAME,39463.13,PERSONAL SERVICES,0,TERMINAL LEAVE,39464,0,0,2017
0,18353,Manhattan Community Board # 9,109,1000,CONVERSION NAME,32105.91,OTHER THAN PERSONAL SERVICES,0,OFFICE EQUIPMENT MAINTENANCE,39453,0,0,2017
0,37745,Queens Community Board # 1,401,4000,RENT,36345.71,RENT,0,RENTALS - LAND BLDGS & STRUCTS,37745,0,0,2017
0,37222,Queens Community Board # 5,405,4000,RENT,36739.92,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,37222,0,0,2017
0,35333,Brooklyn Community Board # 16,316,4000,RENT,32578.6,RENT,0,RENTALS - LAND BLDGS & STRUCTS,35333,2754.4,0,2017
0,1720,Bronx Community Board # 7,207,1000,CONVERSION NAME,25500,OTHER THAN PERSONAL SERVICES,0,PROF SERV OTHER,34420,0,0,2017
0,24302,Brooklyn Community Board # 13,313,1000,CONVERSION NAME,37359.5,PERSONAL SERVICES,0,UNSALARIED,34302,0,0,2017
0,32994,Queens Community Board # 13,413,4000,RENT,32994,RENT,0,RENTALS - LAND BLDGS & STRUCTS,32994,0,0,2017
0,0,Queens Community Board # 1,401,2000,FRIENDS OF QUEENS COMMUNITY BD #1,0,OTHER THAN PERSONAL SERVICES,0,OTHER EXPENSES - GENERAL,32764,0,0,2017
0,32288,Manhattan Community Board # 9,109,1000,CONVERSION NAME,34971.49,PERSONAL SERVICES,0,UNSALARIED,32288,0,0,2017
0,32098,Brooklyn Community Board # 5,305,1000,CONVERSION NAME,18332.48,PERSONAL SERVICES,0,UNSALARIED,32098,0,0,2017
0,0,Bronx Community Board # 5,205,1000,CONVERSION NAME,15810,OTHER THAN PERSONAL SERVICES,0,TEMPORARY SERVICES,30810,0,0,2017
0,30177,Brooklyn Community Board # 14,314,1000,CONVERSION NAME,51445.88,PERSONAL SERVICES,0,UNSALARIED,30177,0,0,2017
0,0,Manhattan Community Board # 1,101,2000,MARDI GRAS FESTIVAL,29070,OTHER THAN PERSONAL SERVICES,0,TEMPORARY SERVICES,29070,0,0,2017
0,28792,Queens Community Board # 2,402,1000,CONVERSION NAME,16662.63,PERSONAL SERVICES,0,UNSALARIED,28792,0,0,2017
0,21196,Queens Community Board # 8,408,1000,CONVERSION NAME,38513.11,PERSONAL SERVICES,0,PART-TIME POSITIONS,28506,0,0,2017
0,0,Bronx Community Board # 8,208,1000,CONVERSION NAME,16323.16,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,27568,0,0,2017
0,25000,Brooklyn Community Board # 11,311,1000,CONVERSION NAME,27727.17,PERSONAL SERVICES,0,UNSALARIED,26740,0,0,2017
0,26665,Queens Community Board # 14,414,4000,RENT,25392,RENT AND ENERGY,0,RENTALS - LAND BLDGS & STRUCTS,26665,0,0,2017
0,0,Bronx Community Board # 9,209,1000,CONVERSION NAME,26641.1,PERSONAL SERVICES,0,UNSALARIED,26600,0,0,2017
0,0,Queens Community Board # 1,401,1000,CONVERSION NAME,26154.2,OTHER THAN PERSONAL SERVICES,0,MAINT & REP GENERAL,26155,0,0,2017
0,0,Brooklyn Community Board # 13,313,1000,CONVERSION NAME,82.93,PERSONAL SERVICES,0,SHIFT DIFFERENTIAL,26113,0,0,2017
0,25576,Staten Island Community Board # 2,502,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,AMOUNT TO BE SCHEDULED-PS,25576,0,0,2017
0,40418,Queens Community Board # 7,407,1000,CONVERSION NAME,23005.26,PERSONAL SERVICES,0,PART-TIME POSITIONS,25418,0,0,2017
0,5604,Manhattan Community Board # 8,108,1000,CONVERSION NAME,8542.19,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,25104,0,0,2017
0,24653,Brooklyn Community Board # 10,310,1000,CONVERSION NAME,15699.58,PERSONAL SERVICES,0,UNSALARIED,24653,0,0,2017
0,29883,Staten Island Community Board # 3,503,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,AMOUNT TO BE SCHEDULED-PS,24563,0,0,2017
0,4000,Queens Community Board # 7,407,1000,CONVERSION NAME,19712.9,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,22100,0,0,2017
0,8324,Manhattan Community Board # 5,105,1000,CONVERSION NAME,20458.43,OTHER THAN PERSONAL SERVICES,0,CONTRACTUAL SERVICES-GENERAL,21004,0,0,2017
0,15000,Brooklyn Community Board # 15,315,1000,CONVERSION NAME,7333.48,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,20100,0,0,2017
0,0,Manhattan Community Board # 6,106,1000,CONVERSION NAME,20000,OTHER THAN PERSONAL SERVICES,0,PROF SERV OTHER,20000,0,0,2017
0,0,Queens Community Board # 9,409,1000,CONVERSION NAME,18953,PERSONAL SERVICES,0,PART-TIME POSITIONS,20000,0,0,2017
0,19712,Brooklyn Community Board # 5,305,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,AMOUNT TO BE SCHEDULED-PS,19712,0,0,2017
0,0,Brooklyn Community Board # 12,312,1000,CONVERSION NAME,17940.24,OTHER THAN PERSONAL SERVICES,0,OFFICE EQUIPMENT,17941,0,0,2017
0,17615,Queens Community Board # 3,403,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,UNSALARIED,17615,0,0,2017
0,1500,Manhattan Community Board # 9,109,1000,CONVERSION NAME,15783.17,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,17100,0,0,2017
0,0,Bronx Community Board # 6,206,1000,CONVERSION NAME,14938.75,OTHER THAN PERSONAL SERVICES,0,TEMPORARY SERVICES,15980,0,0,2017
0,0,Manhattan Community Board # 7,107,1000,CONVERSION NAME,13066.25,OTHER THAN PERSONAL SERVICES,0,TEMPORARY SERVICES,15937,0,0,2017
0,6000,Queens Community Board # 14,414,1000,CONVERSION NAME,8739.48,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,15545,343.15,0,2017
0,2400,Manhattan Community Board # 11,111,1000,CONVERSION NAME,11269.88,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,15485,0,0,2017
0,0,Manhattan Community Board # 4,104,1000,CONVERSION NAME,14015,OTHER THAN PERSONAL SERVICES,0,PROF SERV OTHER,14015,0,0,2017
0,13893,Manhattan Community Board # 11,111,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,AMOUNT TO BE SCHEDULED-PS,13893,0,0,2017
0,13467,Queens Community Board # 14,414,1000,CONVERSION NAME,8235.33,PERSONAL SERVICES,0,PART-TIME POSITIONS,13467,0,0,2017
0,3900,Queens Community Board # 10,410,1000,CONVERSION NAME,13403.23,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,13449,0,0,2017
0,5000,Manhattan Community Board # 6,106,1000,CONVERSION NAME,12589.58,OTHER THAN PERSONAL SERVICES,0,OFFICE EQUIPMENT,13420,0,0,2017
0,240,Bronx Community Board # 12,212,1000,CONVERSION NAME,13288.7,OTHER THAN PERSONAL SERVICES,0,CONTRACTUAL SERVICES GENERAL,13289,0,0,2017
0,2264,Bronx Community Board # 2,202,1000,CONVERSION NAME,11895.58,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,13264,0,0,2017
0,3000,Bronx Community Board # 9,209,1000,CONVERSION NAME,13203,OTHER THAN PERSONAL SERVICES,0,PRINTING SUPPLIES,13203,0,0,2017
0,3520,Bronx Community Board # 2,202,1000,CONVERSION NAME,1160.06,OTHER THAN PERSONAL SERVICES,0,PURCH DATA PROCESSING EQUIPT,12982,0,0,2017
0,10000,Brooklyn Community Board # 3,303,1000,CONVERSION NAME,13257.16,OTHER THAN PERSONAL SERVICES,0,RENTALS OF MISC.EQUIP,12910,0,0,2017
0,0,Brooklyn Community Board # 9,309,1000,OPERATIONS,11314,OTHER THAN PERSONAL SERVICES,0,MAINT & OPER OF INFRASTRUCTURE,12500,0,0,2017
0,10000,Brooklyn Community Board # 16,316,1000,CONVERSION NAME,12431,OTHER THAN PERSONAL SERVICES,0,POSTAGE,12499,0,0,2017
0,2000,Bronx Community Board # 12,212,1000,CONVERSION NAME,12330.65,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,12353,0,0,2017
0,5000,Manhattan Community Board # 10,110,1000,CONVERSION NAME,11146.15,OTHER THAN PERSONAL SERVICES,0,PRINTING SUPPLIES,12350,0,0,2017
0,5800,Brooklyn Community Board # 9,309,1000,OPERATIONS,11510.36,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,12028,0,0,2017
0,0,Manhattan Community Board # 11,111,1000,CONVERSION NAME,11999,OTHER THAN PERSONAL SERVICES,0,PROFESSIONAL SVCS CONTRACTUAL,11999,0,0,2017
0,7182,Queens Community Board # 11,411,4000,RENT,11842,RENT,0,HEAT LIGHT & POWER,11842,0,0,2017
0,3000,Bronx Community Board # 1,201,1000,CONVERSION NAME,11384.18,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,11493,0,0,2017
0,0,Brooklyn Community Board # 12,312,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,AMOUNT TO BE SCHEDULED-PS,11400,0,0,2017
0,4513,Queens Community Board # 12,412,1000,CONVERSION NAME,10676.76,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,11389,0,0,2017
0,2000,Queens Community Board # 7,407,1000,CONVERSION NAME,11345,OTHER THAN PERSONAL SERVICES,0,POSTAGE,11345,0,0,2017
0,11000,Brooklyn Community Board # 4,304,1000,CONVERSION NAME,0,PERSONAL SERVICES,0,UNSALARIED,11000,0,0,2017
0,1500,Manhattan Community Board # 7,107,1000,CONVERSION NAME,5968,OTHER THAN PERSONAL SERVICES,0,CLEANING SERVICES,10998,0,0,2017
0,752,Manhattan Community Board # 4,104,1000,CONVERSION NAME,3781.53,OTHER THAN PERSONAL SERVICES,0,SUPPLIES + MATERIALS - GENERAL,10637,0,0,2017
